ID,type,area,length,elevation,pos_x,pos_y,footprint
0,building,63.38000000233762,48.417695817607886,17.34,724849.2880782589,6181002.194214788,"[(724853.4800000008, 6181005.2), (724843.4800000008, 6181002.800000001), (724843.0800000008, 6181003.0), (724842.2800000007, 6181005.0), (724842.0800000008, 6181005.0), (724839.8800000008, 6181000.0), (724852.8800000008, 6181000.4), (724853.0800000008, 6181000.0), (724854.4800000008, 6181000.2), (724856.8800000008, 6181000.2), (724857.0800000008, 6181000.0), (724858.2800000007, 6181000.0), (724855.6800000007, 6181001.0), (724858.0800000008, 6181003.4), (724853.4800000008, 6181005.2)]"
1,building,94.70000000026775,49.80177630701924,16.9,724804.9261246047,6181003.852756072,"[(724809.2800000007, 6181009.0), (724799.4800000008, 6181007.2), (724799.4800000008, 6181001.800000001), (724793.2800000007, 6181000.2), (724812.0800000008, 6181000.2), (724809.2800000007, 6181009.0)]"
2,building,99.84000000111061,39.27691393856286,8.5,724758.3635737187,6181014.76121795,"[(724757.6800000007, 6181020.4), (724753.0800000008, 6181019.2), (724754.2800000007, 6181009.2), (724763.2800000007, 6181009.600000001), (724762.8800000008, 6181019.800000001), (724757.6800000007, 6181020.4)]"
3,building,47.880000000370195,37.47932765257852,6.200000000000001,724502.9000501261,6181017.875132276,"[(724505.6800000007, 6181022.4), (724497.0800000008, 6181019.4), (724504.2800000007, 6181012.4), (724506.0800000008, 6181018.0), (724506.8800000008, 6181015.2), (724508.2800000007, 6181017.4), (724505.0800000008, 6181019.2), (724505.6800000007, 6181022.4)]"
4,building,74.4000000001979,45.763354904508844,10.260000000000002,724554.7249283163,6181022.458584229,"[(724556.2800000007, 6181027.600000001), (724550.8800000008, 6181026.0), (724552.4800000008, 6181023.0), (724547.2800000007, 6181023.800000001), (724549.4800000008, 6181019.0), (724552.2800000007, 6181021.800000001), (724554.2800000007, 6181016.4), (724561.2800000007, 6181022.0), (724556.2800000007, 6181027.600000001)]"
5,building,486.40000000435384,111.7763492864406,16.18,724694.6609484657,6181018.679950659,"[(724705.6800000007, 6181034.4), (724688.2800000007, 6181031.800000001), (724683.8800000008, 6181000.0), (724697.2800000007, 6181000.4), (724697.6800000007, 6181023.600000001), (724709.8800000008, 6181024.2), (724709.0800000008, 6181034.0), (724705.6800000007, 6181034.4)]"
6,building,334.6599999973527,81.17133068203937,13.73,724639.733957251,6181033.204968227,"[(724626.8800000008, 6181041.4), (724624.4800000008, 6181029.4), (724653.8800000008, 6181025.600000001), (724654.8800000008, 6181036.4), (724626.8800000008, 6181041.4)]"
7,building,278.0000000010361,67.10915155587055,6.23,724460.9821582743,6181028.950695445,"[(724463.4800000008, 6181041.600000001), (724454.4800000008, 6181038.600000001), (724453.0800000008, 6181034.4), (724457.4800000008, 6181016.600000001), (724467.8800000008, 6181018.2), (724467.0800000008, 6181035.0), (724463.4800000008, 6181041.600000001)]"
8,building,93.96000000379048,39.18553086565329,5.5600000000000005,724578.8719965951,6181037.043820065,"[(724574.0800000008, 6181041.800000001), (724572.6800000007, 6181033.2), (724584.2800000007, 6181032.600000001), (724584.6800000007, 6181040.800000001), (724574.0800000008, 6181041.800000001)]"
9,building,963.3000000051107,190.95599960938867,14.689999999999998,724763.6467379497,6181034.044685284,"[(724803.2800000007, 6181043.4), (724724.8800000008, 6181036.600000001), (724720.6800000007, 6181035.4), (724721.4800000008, 6181026.2), (724748.0800000008, 6181026.2), (724757.0800000008, 6181030.2), (724761.4800000008, 6181027.600000001), (724766.6800000007, 6181031.0), (724769.6800000007, 6181027.600000001), (724803.2800000007, 6181030.800000001), (724803.2800000007, 6181043.4)]"
10,building,20.319999999944123,19.15131503733967,8.570000000000002,724544.3297375336,6181039.271916011,"[(724544.0800000008, 6181043.600000001), (724541.8800000008, 6181037.800000001), (724544.4800000008, 6181035.600000001), (724546.8800000008, 6181039.4), (724544.0800000008, 6181043.600000001)]"
11,building,196.96000000490807,54.74187199054012,4.85,724502.943552668,6181036.969103711,"[(724503.0800000008, 6181044.600000001), (724494.2800000007, 6181040.600000001), (724496.0800000008, 6181029.600000001), (724511.6800000007, 6181032.0), (724510.0800000008, 6181042.800000001), (724503.0800000008, 6181044.600000001)]"
12,building,39.49999999819556,28.216343125695868,3.33,724441.477063292,6181041.422143462,"[(724440.2800000007, 6181045.2), (724437.0800000008, 6181041.2), (724439.6800000007, 6181039.800000001), (724439.2800000007, 6181039.4), (724439.4800000008, 6181038.2), (724439.2800000007, 6181037.800000001), (724439.4800000008, 6181037.600000001), (724443.0800000008, 6181037.4), (724442.0800000008, 6181038.800000001), (724444.0800000008, 6181039.0), (724444.8800000008, 6181041.0), (724444.4800000008, 6181041.2), (724445.0800000008, 6181042.600000001), (724444.8800000008, 6181044.0), (724440.2800000007, 6181045.2)]"
13,building,283.2000000009313,99.09954226858963,13.670000000000002,724533.7937853116,6181031.5374717545,"[(724533.4800000008, 6181045.4), (724526.8800000008, 6181044.4), (724530.6800000007, 6181028.600000001), (724528.2800000007, 6181026.600000001), (724530.0800000008, 6181022.800000001), (724526.6800000007, 6181024.4), (724526.0800000008, 6181022.800000001), (724535.0800000008, 6181014.0), (724539.6800000007, 6181024.2), (724536.6800000007, 6181022.600000001), (724536.6800000007, 6181025.4), (724532.6800000007, 6181026.4), (724538.6800000007, 6181026.600000001), (724540.2800000007, 6181030.2), (724539.0800000008, 6181043.600000001), (724533.4800000008, 6181045.4)]"
